Class,Title,FLSA,Grade,"Hourly
Minimum","Hourly
Midpoint","Hourly
Maximum","Annual
Minimum","Annual
Midpoint","Annual
Maximum"
4105,Accountant (Treasurer),NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
4106,Accountant II,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
4107,Accountant III,EX,MAR15_10,$33.67,$42.54,$51.40,"$70,033.60","$88,472.80","$106,912.00"
4134,Accounting Assistant III,NEX,MAR10_3,$17.22,$21.77,$26.31,"$35,817.60","$45,271.20","$54,724.80"
4135,Accounting Assistant IV,NEX,MAR10_4,$19.11,$24.14,$29.17,"$39,748.80","$50,211.20","$60,673.60"
4110,Accounting Associate,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
4103,Accounting Technician I,NEX,MAR10_5,$21.33,$26.96,$32.58,"$44,366.40","$56,066.40","$67,766.40"
4104,Accounting Technician II,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
1263,Administrative Assistant III,NEX,4,$17.37,$21.94,$26.51,"$36,129.60","$45,635.20","$55,140.80"
1264,Administrative Assistant IV,NEX,5,$19.39,$24.50,$29.60,"$40,331.20","$50,949.60","$61,568.00"
1265,Administrative Assistant V,NEX,6,$21.33,$26.96,$32.59,"$44,366.40","$56,076.80","$67,787.20"
1266,Administrative Assistant VI,NEX,7,$23.37,$29.53,$35.68,"$48,609.60","$61,412.00","$74,214.40"
1510,Administrative Officer (DHS),EX,81,$36.66,$50.93,$65.19,"$76,252.80","$105,924.00","$135,595.20"
302,Administrative Services Division Chief I D,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1181,Administrative Specialist,NEX,8,$25.30,$31.96,$38.62,"$52,624.00","$66,476.80","$80,329.60"
1280,Administrative Technician I,NEX,6,$21.33,$26.96,$32.59,"$44,366.40","$56,076.80","$67,787.20"
1281,Administrative Technician II,NEX,7,$23.37,$29.53,$35.68,"$48,609.60","$61,412.00","$74,214.40"
6450,Adult Day Programs Supervisor,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
7213,Adult Day Recreation Leader,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
3340,AED Arts Enterprise Specialist,EX,12,$33.32,$42.10,$50.87,"$69,305.60","$87,557.60","$105,809.60"
3465,AED Assistant Director,EX,MAP_B,$59.27,$74.91,$90.54,"$123,281.60","$155,802.40","$188,323.20"
3344,AED Budget & Operations Manager,EX,MAR15_15,$44.76,$56.55,$68.34,"$93,100.80","$117,624.00","$142,147.20"
3350,AED Business Development Specialist,EX,MAR10_15,$42.81,$54.09,$65.37,"$89,044.80","$112,507.20","$135,969.60"
3353,AED Commercial Development Specialist,EX,MAR10_15,$42.81,$54.09,$65.37,"$89,044.80","$112,507.20","$135,969.60"
345,AED Deputy Director,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
3326,AED Destination Sales Manager,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
3322,AED Digital Strategist,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
3320,AED Facilities Operations Supervisor,EX,12,$33.32,$42.10,$50.87,"$69,305.60","$87,557.60","$105,809.60"
3321,AED Facilities Project Specialist,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
3342,AED Grants and Equity Specialist,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
3348,AED Literary Arts Program Coordinator,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
3343,AED Market Research Specialist,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
3410,AED Marketing Manager,EX,MAR10_15,$42.81,$54.09,$65.37,"$89,044.80","$112,507.20","$135,969.60"
3345,AED Marketing Specialist,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
3346,AED Marketing Specialist Senior,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
3355,AED Media Production Specialist,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
3423,AED Public Art Specialist,EX,12,$33.32,$42.10,$50.87,"$69,305.60","$87,557.60","$105,809.60"
3349,AED Small Business Specialist,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
3310,AED Specialist I,NEX,MAR5_6,$22.40,$28.31,$34.22,"$46,592.00","$58,884.80","$71,177.60"
3325,AED Specialist II,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
3420,AED Specialist V,EX,68,$40.63,$53.83,$67.03,"$84,510.40","$111,966.40","$139,422.40"
3341,AED Strategic Initiatives Specialist,EX,MAR10_12,$36.66,$46.31,$55.96,"$76,252.80","$96,324.80","$116,396.80"
3315,AED Studio Coordinator,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
6641,Agency On Aging Program Coordinator,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
6642,Aging & Disability Resource Center Supervisor,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
680,Aging & Disability Services Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
9994,AmeriCorps Participant,EX,None,,,,,,
135,Applications & Architecture Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1008,Applications Analyst,EX,MAR25_10,$36.59,$46.23,$55.87,"$76,107.20","$96,158.40","$116,209.60"
1017,Applications Developer,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
7327,Aquatics Instructor,NEX,8,$25.30,$31.96,$38.62,"$52,624.00","$66,476.80","$80,329.60"
7011,Archivist,EX,40,$30.74,$39.96,$49.17,"$63,939.20","$83,106.40","$102,273.60"
3445,Arlington Convention/Visitors Service Manager,EX,MAR35_14,$50.11,$63.32,$76.53,"$104,228.80","$131,705.60","$159,182.40"
9211,ASAP Administrator,EX,13,$35.26,$44.55,$53.84,"$73,340.80","$92,664.00","$111,987.20"
9213,ASAP Case Manager,NEX,10,$29.27,$36.98,$44.69,"$60,881.60","$76,918.40","$92,955.20"
9212,ASAP Case Manager Senior,NEX,11,$31.29,$39.55,$47.81,"$65,083.20","$82,264.00","$99,444.80"
9120,ASAP Instructor,NEX,9,$27.23,$34.43,$41.62,"$56,638.40","$71,604.00","$86,569.60"
5320,Assistant Building Official,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
4100,Assistant Comptroller,EX,54,$42.32,$56.82,$71.31,"$88,025.60","$118,175.20","$148,324.80"
110,Assistant County Manager,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
3621,Assistant Director CPHD,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
1105,Assistant Director Human Resources,EX,MAP_B,$59.27,$74.91,$90.54,"$123,281.60","$155,802.40","$188,323.20"
201,Assistant Director Transportation,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
8212,Assistant Engineering Bureau Chief,EX,MAP_A,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
7410,Assistant Parks & Natural Resources Division Chief,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
5405,Assistant Permit Administration Manager,NEX,MAR25_9,$34.05,$43.04,$52.03,"$70,824.00","$89,523.20","$108,222.40"
9122,Assistant Probate Clerk,NEX,9,$27.23,$34.43,$41.62,"$56,638.40","$71,604.00","$86,569.60"
1330,Assistant Purchasing Agent,EX,54,$42.32,$56.82,$71.31,"$88,025.60","$118,175.20","$148,324.80"
1090,Assistant to DHS Director,EX,MAR25_14,$46.39,$58.63,$70.86,"$96,491.20","$121,940.00","$147,388.80"
8120,Assistant Transit Bureau Chief,EX,MAR30_15,$50.59,$63.92,$77.25,"$105,227.20","$132,953.60","$160,680.00"
4802,Asst Deputy Treasurer/Acctg & Treas Mgt,EX,MAR20_12,$39.99,$50.52,$61.05,"$83,179.20","$105,081.60","$126,984.00"
4820,Asst Deputy Treasurer/Administration,EX,MAR15_11,$35.99,$45.49,$54.99,"$74,859.20","$94,619.20","$114,379.20"
4832,Asst Deputy Treasurer/Compliance,EX,MAR15_11,$35.99,$45.49,$54.99,"$74,859.20","$94,619.20","$114,379.20"
4831,Asst Deputy Treasurer/Operations,EX,MAR15_11,$35.99,$45.49,$54.99,"$74,859.20","$94,619.20","$114,379.20"
1215,Asst Registrar Chief Deputy,EX,MAR10_11,$34.42,$43.51,$52.60,"$71,593.60","$90,500.80","$109,408.00"
1212,Asst Registrar II,NEX,MAR15_4,$19.99,$25.24,$30.49,"$41,579.20","$52,499.20","$63,419.20"
1213,Asst Registrar III,NEX,MAR15_5,$22.31,$28.19,$34.06,"$46,404.80","$58,624.80","$70,844.80"
1214,Asst Registrar IV,NEX,MAR15_6,$24.54,$31.01,$37.48,"$51,043.20","$64,500.80","$77,958.40"
7200,Asst To Department Director/Admin,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
1255,Asst to Deputy County Manager,EX,MAR20_15,$46.70,$59.01,$71.31,"$97,136.00","$122,730.40","$148,324.80"
3125,Asst Zoning Services Manager-Counter,EX,MAR10_11,$34.42,$43.51,$52.60,"$71,593.60","$90,500.80","$109,408.00"
3124,Asst Zoning Services Manager-Plan Review,EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
722,Athletic & Facilities Services Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
2812,Auto Mechanic I,NEX,MAR25_6,$26.67,$33.71,$40.74,"$55,473.60","$70,106.40","$84,739.20"
2813,Auto Mechanic II,NEX,MAR25_7,$29.22,$36.92,$44.61,"$60,777.60","$76,783.20","$92,788.80"
6331,Beh Health Emerg Svcs Clinician,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
6343,Beh Health Emerg Svcs Clinician (Licensed),EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
6312,Behavioral Health (Resident/Supervisee),NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
6322,Behavioral Health Specialist,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
6346,Behavioral Health Supervisor,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6347,Behavioral Health Therapist (Licensed),EX,MAR20_11,$37.55,$47.47,$57.38,"$78,104.00","$98,727.20","$119,350.40"
6360,Behavioral Health Therapist (Non-VA Licensed),NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
6323,Behavioral Health Therapist III,EX,MAR20_12,$39.99,$50.52,$61.05,"$83,179.20","$105,081.60","$126,984.00"
640,Behavioral Healthcare Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
6335,Behavioral Intervention Specialist,NEX,MAR20_9,$32.68,$41.32,$49.95,"$67,974.40","$85,935.20","$103,896.00"
3470,BizLaunch Manager,EX,MAR20_14,$44.54,$56.28,$68.02,"$92,643.20","$117,062.40","$141,481.60"
442,Budget & Management Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
4414,Budget and Finance Specialist,NEX,86,$23.37,$34.58,$45.79,"$48,609.60","$71,926.40","$95,243.20"
4418,Budget Coordinator,EX,54,$42.32,$56.82,$71.31,"$88,025.60","$118,175.20","$148,324.80"
2413,Building Engineer I,NEX,MAR25_7,$29.22,$36.92,$44.61,"$60,777.60","$76,783.20","$92,788.80"
2414,Building Engineer II,NEX,MAR30_8,$32.90,$41.56,$50.22,"$68,432.00","$86,444.80","$104,457.60"
2537,Building Maintenance Operations Supv,NEX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
3448,Business Development Section Manager,EX,MAR20_14,$44.54,$56.28,$68.02,"$92,643.20","$117,062.40","$141,481.60"
1580,Business Intelligence Manager,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
3480,Business Intelligence Section Manager,EX,MAR20_14,$44.54,$56.28,$68.02,"$92,643.20","$117,062.40","$141,481.60"
3430,Business Investment Group Manager,EX,MAR30_16,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
1032,Business Systems Analyst II,EX,MAR25_11,$39.12,$49.45,$59.77,"$81,369.60","$102,845.60","$124,321.60"
1033,Business Systems Analyst III,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
4511,Business Tax Insp I,NEX,MAR5_7,$24.54,$31.01,$37.48,"$51,043.20","$64,500.80","$77,958.40"
